SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15 Gadiri Dr,Highland Mills,NY,10930,319900,3,2.0,Highland Mills,1738,43560,1973,68,184,,Active,,,http://www.redfin.com/NY/Highland-Mills/15-Gadiri-Dr-10930/home/54932567,HGMLS,4954613,N,Y,41.3948731,-74.0667532
MLS Listing,,Single Family Residential,2 Crestview Dr,Highland Mills,NY,10930,350000,3,2.0,Highland Mills,2354,19602,1961,70,149,,Active,,,http://www.redfin.com/NY/Highland-Mills/2-Crestview-Dr-10930/home/92375410,HGMLS,4953960,N,Y,41.402714,-74.064284
MLS Listing,,Single Family Residential,50 Academy Ave,Cornwall On Hudson,NY,12520,295850,5,2.0,Cornwall-on-Hudson,2016,8276,1955,71,147,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/50-Academy-Ave-12520/home/54937019,HGMLS,4955643,N,Y,41.4455425,-74.0248023
MLS Listing,,Condo/Co-op,23 Manor Dr #23,Cornwall,NY,12518,70000,1,1.0,Cornwall,700,,1965,71,100,,Active,,,http://www.redfin.com/NY/Cornwall/23-Manor-Dr-12518/unit-23/home/54980046,HGMLS,4954904,N,Y,41.4405115,-74.0402707
MLS Listing,,Multi-Family (2-4 Unit),22 John St,New Windsor,NY,12553,215000,3,2.0,New Windsor,1506,,1951,73,143,,Active,,,http://www.redfin.com/NY/New-Windsor/22-John-St-12553/home/54855998,HGMLS,4915116,N,Y,41.441373,-74.0645044
MLS Listing,,Single Family Residential,122 Sycamore Dr,New Windsor,NY,12553,369900,4,2.5,New Windsor,2302,52272,1986,74,161,,Active,,,http://www.redfin.com/NY/New-Windsor/122-Sycamore-Dr-12553/home/72599920,HGMLS,4942735,N,Y,41.4370006,-74.1039687
MLS Listing,,Single Family Residential,222 Bay View Ave,Cornwall On Hudson,NY,12520,589000,4,2.5,Cornwall-on-Hudson,3200,115669,2019,76,184,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/222-Bayview-Ave-12520/home/145281081,HGMLS,4948053,N,Y,41.43743,-73.998858
MLS Listing,,Single Family Residential,12 Schofield Ln,Cornwall,NY,12518,185000,4,2.0,Cornwall,1314,31363,1925,78,141,,Active,,,http://www.redfin.com/NY/Cornwall/12-Schofield-Ln-12518/home/72579879,HGMLS,4948558,N,Y,41.444619,-74.0462379
MLS Listing,,Single Family Residential,4 Birch Dr,New Windsor,NY,12553,375000,4,3.0,New Windsor,2984,18730,1986,79,126,,Active,,,http://www.redfin.com/NY/New-Windsor/4-Birch-Dr-12553/home/54895902,HGMLS,4915167,N,Y,41.442663,-74.105437
MLS Listing,,Single Family Residential,15 Creekside,Cornwall,NY,12518,178500,2,1.0,Cornwall,960,26136,1890,79,186,,Active,,,http://www.redfin.com/NY/Cornwall/15-Creekside-12518/home/145250923,HGMLS,4949147,N,Y,41.4343383,-74.0353681
MLS Listing,,Single Family Residential,6 Oak Tree Dr,Cornwall,NY,12518,315000,3,2.5,Cornwall,2072,52272,1959,80,152,,Active,,,http://www.redfin.com/NY/Cornwall/6-Oak-Tree-Dr-12518/home/54890360,HGMLS,4945472,N,Y,41.407383,-74.0494507
MLS Listing,,Single Family Residential,10 Lilac Hill Rd,New Windsor,NY,12553,399000,3,2.5,New Windsor,2819,43560,2002,82,142,,Active,,,http://www.redfin.com/NY/New-Windsor/10-Lilac-Hill-Rd-12553/home/54901775,HGMLS,4943204,N,Y,41.4146847,-74.061659
MLS Listing,,Single Family Residential,5 Starwood Ln,Highland Mills,NY,10930,349000,3,2.0,Highland Mills,2002,47916,1951,83,174,,Active,,,http://www.redfin.com/NY/Highland-Mills/5-Starwood-Ln-10930/home/72610219,HGMLS,4944158,N,Y,41.390031,-74.063048
MLS Listing,,Single Family Residential,14 Howard St,Cornwall,NY,12518,159950,3,1.0,Cornwall,1199,8276,1907,84,133,,Active,,,http://www.redfin.com/NY/Cornwall/14-Howard-St-12518/home/54896856,HGMLS,4943975,N,Y,41.4449031,-74.0466061
MLS Listing,,Single Family Residential,3 Trinity Pl,Cornwall,NY,12518,650000,5,3.0,Cornwall,3293,47916,2005,84,197,,Active,,,http://www.redfin.com/NY/Cornwall/3-Trinity-Pl-12518/home/54854813,HGMLS,4944135,N,Y,41.4250554,-74.0313434
MLS Listing,,Single Family Residential,6 Bay View Ter,Cornwall On Hudson,NY,12520,445000,4,3.0,Cornwall-on-Hudson,3011,16988,1972,90,148,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/6-Bay-View-Ter-12520/home/92374673,HGMLS,4840941,N,Y,41.4413312,-74.0023671
MLS Listing,,Single Family Residential,180 Willow Ave,Cornwall,NY,12518,233900,4,1.5,Cornwall,1458,18295,1930,91,160,,Active,,,http://www.redfin.com/NY/Cornwall/180-Willow-Ave-12518/home/72579892,HGMLS,4939864,N,Y,41.4431032,-74.0440665
