SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6 Sengen Ln,Cornwall On Hudson,NY,12520,2000000,11,9.5,Cornwall-on-Hudson,11222,866843,1902,418,178,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/6-Sengen-Ln-12520/home/92374552,HGMLS,4830143,N,Y,41.4227401,-74.0201019
MLS Listing,,Vacant Land,46 Long Hill Rd,Highland Mills,NY,10930,145000,,,Highland Mills,,373309,,420,,,Active,,,http://www.redfin.com/NY/Highland-Mills/46-Long-Hill-Rd-10930/home/55200254,HGMLS,4829893,N,Y,41.401552,-74.073176
MLS Listing,,Single Family Residential,191 Pleasant Hill Rd,New Windsor,NY,12553,575000,4,3.5,New Windsor,3235,278784,2018,437,178,,Active,,,http://www.redfin.com/NY/New-Windsor/191-Pleasant-Hill-Rd-12553/home/92364917,HGMLS,4825912,N,Y,41.428908,-74.071749
MLS Listing,,Single Family Residential,11 Partridge Rd,Cornwall On Hudson,NY,12520,850000,8,4.5,Cornwall-on-Hudson,5604,357191,1919,464,152,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/11-Partridge-Rd-12520/home/54879863,HGMLS,4812278,N,Y,41.4299402,-74.0103383
MLS Listing,,Single Family Residential,10 Apple,Cornwall,NY,12518,439900,3,2.5,Cornwall,2648,56628,2019,482,166,,Active,,,http://www.redfin.com/NY/Cornwall/10-Apple-Unknown/home/146495356,HGMLS,4817272,N,Y,41.4343383,-74.0353681
MLS Listing,,Vacant Land,1 Red Oak Ridge Dr,Cornwall,NY,12518,115000,,,Cornwall,,108900,,494,,,Active,,,http://www.redfin.com/NY/Cornwall/1-Ridge-Rd-12518/home/167448428,HGMLS,4815818,N,Y,41.4310105,-74.0278796
MLS Listing,,Vacant Land,2 Red Oak Ridge Dr,Cornwall,NY,12518,115000,,,Cornwall,,104544,,494,,,Active,,,http://www.redfin.com/NY/Cornwall/2-Oak-St-12518/home/167448403,HGMLS,4815806,N,Y,41.4352659,-74.0382982
MLS Listing,,Vacant Land,3 Red Oak Ridge Dr,Cornwall,NY,12518,160000,,,Cornwall,,431244,,494,,,Active,,,http://www.redfin.com/NY/CORNWALL/3-RED-OAK-RIDGE-DR-12518/home/92375313,HGMLS,4815790,N,Y,41.408579,-74.044245
MLS Listing,,Single Family Residential,2406 State Route 32,New Windsor,NY,12553,330000,3,1.0,New Windsor,1839,25700,1927,500,179,,Active,,,http://www.redfin.com/NY/New-Windsor/2406-New-York-32-12553/home/145293980,HGMLS,4814372,N,Y,41.4477549,-74.0564629
MLS Listing,,Vacant Land,409 Angola Rd,Cornwall,NY,12518,55000,,,Cornwall,,20037,,631,,,Active,,,http://www.redfin.com/NY/Cornwall/409-Angola-Rd-12518/home/92375218,HGMLS,4733333,N,Y,41.410262,-74.055945
MLS Listing,,Single Family Residential,107 Winding Brook Ct,New Windsor,NY,12553,495500,4,2.5,New Windsor,2663,23086,2019,721,186,,Active,,,http://www.redfin.com/NY/New-Windsor/107-Winding-Brook-Ct-12553/home/72586782,HGMLS,4739479,N,Y,41.447296,-74.051477
MLS Listing,,Single Family Residential,121 Harold Ave,Cornwall,NY,12518,274900,4,1.5,Cornwall,1760,13068,1976,1027,156,,Active,,,http://www.redfin.com/NY/Cornwall/121-Harold-Ave-12518/home/92375378,HGMLS,4646908,N,Y,41.4402376,-74.0494966
MLS Listing,,Vacant Land,56 Meadowbrook,New Windsor,NY,12553,69900,,,New Windsor,,100187,,1211,,,Active,,,http://www.redfin.com/NY/New-Windsor/56-Meadowbrook-Ln-12553/home/72609930,HGMLS,4618672,N,Y,41.439771,-74.078078
MLS Listing,,Single Family Residential,112 Winding Brook Ct,New Windsor,NY,12553,499900,4,2.5,New Windsor,3306,20908,2007,1619,151,,Active,,,http://www.redfin.com/NY/New-Windsor/112-Winding-Brook-Ct-12553/home/68418393,HGMLS,4509810,N,Y,41.4466734,-74.0514472
New Construction Home,,Single Family Residential,8 Knoll Crest Ct,Cornwall,NY,12518,541936,3,2.0,Stone Hollow at Cornwall,2038,,2018,387,266,,Active,,,http://www.redfin.com/NY/Cornwall/8-Knoll-Crest-Ct-12518/home/72608926,NewHomeSource.com,1479512,N,Y,41.4438063,-74.0408553
New Construction Home,,Single Family Residential,4 Knoll Crest Ct,Cornwall,NY,12518,563157,3,3.0,Stone Hollow at Cornwall,2488,,2018,389,226,,Active,,,http://www.redfin.com/NY/Cornwall/4-Knoll-Crest-Ct-12518/home/72608861,NewHomeSource.com,1387215,N,Y,41.4432702,-74.042107
New Construction Plan,,Single Family Residential,The Cornwall,Cornwall,NY,12518,469900,3,2.5,Stone Hollow at Cornwall,2727,,,,172,,Active,,,http://www.redfin.com/NY/Cornwall/Stone-Hollow-at-Cornwall/The-Cornwall/home/143849367,NewHomeSource.com,Plan-91434312,N,Y,41.4432764,-74.0421007
New Construction Plan,,Single Family Residential,The Bayberry,Cornwall,NY,12518,449900,4,2.5,Stone Hollow at Cornwall,2626,,,,171,,Active,,,http://www.redfin.com/NY/Cornwall/Stone-Hollow-at-Cornwall/The-Bayberry/home/143849368,NewHomeSource.com,Plan-91434311,N,Y,41.4432764,-74.0421007
New Construction Plan,,Single Family Residential,The Daphne,Cornwall,NY,12518,399900,3,2.5,Stone Hollow at Cornwall,2038,,,,196,,Active,,,http://www.redfin.com/NY/Cornwall/Stone-Hollow-at-Cornwall/The-Daphne/home/143849369,NewHomeSource.com,Plan-91434301,N,Y,41.4432764,-74.0421007
New Construction Plan,,Single Family Residential,The Aster,Cornwall,NY,12518,429900,2,2.0,Stone Hollow at Cornwall,2008,,,,214,,Active,,,http://www.redfin.com/NY/Cornwall/Stone-Hollow-at-Cornwall/The-Aster/home/143849370,NewHomeSource.com,Plan-91434300,N,Y,41.4432764,-74.0421007
